id,reference,customer,origin,destination,incoterm,planned_etd,planned_eta,container_number,seal_number,sku,product_description,quantity,weight_kg,volume_cbm,nb_pallets,nb_cartons,order_number,supplier,incoterm_city,loading_place,pod,mad_date,its_date,vessel,bl_number,forwarder_ref,pure_trade_ref,interlocuteur,responsable_pure_trade,status,created_at
493,24YSL028,YSL,,,FCA,2025-01-10 00:00:00+00:00,2025-01-02 00:00:00+00:00,,,LF761001,INSTIT FAN FCA ,4703.0,337.0,1.42,,53.0,,Beaut Premium,Shanghai,Shanghai,HK,2025-01-10 00:00:00+00:00,,NaN,25-0135,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
494,24CHL005,Chanel,,,DDP,2025-01-06 00:00:00+00:00,2025-01-10 00:00:00+00:00,#REF! ,,508290,5 ACCESS.VEND.PIN'S CH5 ,1600.0,104.0,0.25,,15.0,,Yitai,Le Meux,Shenzhen,CDG,2025-01-27 00:00:00+00:00,,expé sur 1 palette,25-0070,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
495,24PAF003,Paco Rabanne,,,DDP,2025-01-06 00:00:00+00:00,2025-01-10 00:00:00+00:00,,,65215735,CORPORATE SUMMER GIFT GWP25 L3 ,46800.0,14976.0,112.32,,1560.0,,Docofil,Barcelona,Portugal,Barcelona,2025-01-10 00:00:00+00:00,,2 trucks,25-0008 rev + 25-0009 rev,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
496,24DIO019,Dior,,,DDP,2025-01-10 00:00:00+00:00,2025-01-16 00:00:00+00:00,#REF! ,,C899500097,D/INSTT SPA SERVIETTE BAIN 100X170 INT24 ,720.0,912.0,8.64,,120.0,,Neiper,St Jean De Braye,Portugal,NaN,2025-01-02 00:00:00+00:00,,NaN,25-0068,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
497,24DOG009,D&G,,,DDP,2025-01-31 00:00:00+00:00,2025-01-31 00:00:00+00:00,#REF! ,,P2DV9008,MUP 2025 platters merch ,1000.0,150.0,0.55,,17.0,,Union Source,Calvenzano (IT),Shenzhen,CDG,2025-02-07 00:00:00+00:00,,NaN,25-0127,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
498,UE001,Nuxe,,,DDP,2025-01-10 00:00:00+00:00,2025-02-11 00:00:00+00:00,16,,AXD000113A,OUTILS DE MASSAGE ,212.0,18.0,0.01,,2.0,,Union Source,Migennes,Shenzhen,Dunkerque,2025-02-28 00:00:00+00:00,,CMA CGM TROCADERO --> CMA CGM RIVOLI,25-0157,200.25.02.0023,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
499,24CHL004,Chanel,,,DDP,2025-01-10 00:00:00+00:00,2025-02-11 00:00:00+00:00,48.7,,508340,MAJ INT. ECRIN N1 2H25 ,115.0,,0.34,,10.0,,PTA,Le Meux,Shenzhen,Dunkerque,2025-03-11 00:00:00+00:00,,CMA CGM TROCADERO --> CMA CGM RIVOLI,25-0141,200.25.02.0023,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
500,24YSL038,YSL,,,DDP,2025-01-10 00:00:00+00:00,2025-02-11 00:00:00+00:00,#REF! ,,LF951600,YSL GIFTSET XMAS 25 MIRROR ,388.0,25.0,0.02,,4.0,,Union Source,Roye,Shenzhen,Dunkerque,2025-06-20 00:00:00+00:00,2025-02-25 00:00:00+00:00,CMA CGM TROCADERO --> CMA CGM RIVOLI,,200.25.02.0023,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
501,24YSL039,YSL,,,DDP,2025-01-10 00:00:00+00:00,2025-02-11 00:00:00+00:00,#REF! ,,LG024700,MIRROR XMAS 25 ,7556.0,741.0,0.52,,95.0,,Union Source,Roye,Shenzhen,Dunkerque,2025-06-20 00:00:00+00:00,2025-02-20 00:00:00+00:00,CMA CGM TROCADERO --> CMA CGM RIVOLI,,200.25.02.0023,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
502,24GUE014,Guerlain,,,DDP,2025-02-10 00:00:00+00:00,2025-02-12 00:00:00+00:00,,,G643963,Shawl CRM 25 (chales ac boites) ,100.0,,1.06,,50.0,,Union Source,Shanghai,Shanghai,Shanghai,2024-11-27 00:00:00+00:00,,NaN,25-0136,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
503,24GUE032,Guerlain,,,DDP,2025-01-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,#REF! ,,G607532,Inst 22 Pochon AOG reorder ,50000.0,920.0,5.95,,209.0,,Rinco,Garancières,Shanghai,Dunkerque,2025-03-05 00:00:00+00:00,,CMA CGM BENJ FRANKLIN,25-0158,100.25.02.0055,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
504,24ARM005,Armani,,,DDP,2025-02-14 00:00:00+00:00,2025-02-20 00:00:00+00:00,#REF! ,,LF488100,GA BEACH TOWEL SUMMER 2025 DDP ,4200.0,1920.0,11.49,,300.0,,Docofil,Roye,Portugal,Roye,2025-01-24 00:00:00+00:00,,truck 6 SCHENKER,25-0137,,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
505,24PAC013,Paco Rabanne,,,DDP,2025-01-24 00:00:00+00:00,2025-02-28 00:00:00+00:00,#REF! ,,65239787,ADVENT XL LINK MOBILE HD25 ,585.0,6.0,0.02,,1.0,,JMS,Barcelona,Shenzhen,Barcelona,2025-03-14 00:00:00+00:00,,MSC LENI,25-0182,SHKG117343,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
506,24PAC011,Paco Rabanne,,,DDP,2025-01-24 00:00:00+00:00,2025-02-28 00:00:00+00:00,10032.5,,65215822,RABANNE MGFH RE25 POUCH GWP L3 ,49098.0,9703.0,64.94,,1169.0,,Yijiahao,Barcelona,Shenzhen,Barcelona,2025-04-04 00:00:00+00:00,,MSC LENI,25-0219 + 25-0221 + 25-0223 rev (1 ctn manquant de 42 pcs),SHKG117343,,NaN,NaN,ORDER_INFO,2026-01-25 23:33:17.671331+00:00
